"id","icon_id","type","tag","dlc","name_zhocn","name_jpnjp","name_engus","path"
1000,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1000,0,0,"WeaponName","dlc02","DLC dummy","DLCデータ分け用のダミー。テキストを追加する際にこの行は削除してください。","DLC dummy","icons/icons_00000.png"
1100,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1200,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1210,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1220,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1230,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1240,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1250,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1260,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1400,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1410,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1420,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1430,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1500,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1600,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1700,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1800,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
1900,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
2000,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
2100,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
2200,0,0,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_00000.png"
11000,1122,29,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_01122.png"
12000,1104,25,"WeaponName",,"[ERROR]","[ERROR]【グール王テスト用】遠距離槍","[ERROR]","icons/icons_01104.png"
13000,1013,3,"WeaponName",,"[ERROR]","[ERROR]【アニメ確認用】中盾","[ERROR]","icons/icons_01013.png"
100000,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100100,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100200,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100300,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100400,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100500,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100600,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100700,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100800,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
100900,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
101000,10040,3,"WeaponName",,"[ERROR]","[ERROR]","[ERROR]","icons/icons_10040.png"
110000,0,33,"WeaponName",,"徒手","素手","Unarmed","icons/icons_00000.png"
170000,0,0,,,,,,"icons/icons_00000.png"
171000,0,0,,,,,,"icons/icons_00000.png"
172000,0,0,,,,,,"icons/icons_00000.png"
173000,0,0,,,,,,"icons/icons_00000.png"
174000,0,0,,,,,,"icons/icons_00000.png"
175000,0,0,,,,,,"icons/icons_00000.png"
176000,0,0,,,,,,"icons/icons_00000.png"
183000,0,0,,,,,,"icons/icons_00000.png"
183100,0,0,,,,,,"icons/icons_00000.png"
184000,0,0,,,,,,"icons/icons_00000.png"
184100,0,0,,,,,,"icons/icons_00000.png"
300000,0,0,,,,,,"icons/icons_00000.png"
301000,0,0,,,,,,"icons/icons_00000.png"
301100,0,0,,,,,,"icons/icons_00000.png"
302000,0,0,,,,,,"icons/icons_00000.png"
303000,0,0,,,,,,"icons/icons_00000.png"
305000,0,0,,,,,,"icons/icons_00000.png"
305100,0,0,,,,,,"icons/icons_00000.png"
306000,0,0,,,,,,"icons/icons_00000.png"
307000,0,0,,,,,,"icons/icons_00000.png"
308000,0,0,,,,,,"icons/icons_00000.png"
351000,0,0,,,,,,"icons/icons_00000.png"
358000,0,0,,,,,,"icons/icons_00000.png"
